tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
173,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,,[],,,
197,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,70.5091979785024,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,,[],,,
235,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,['player_3c3f8012'],,,
291,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,141.01086567410104,70.50166769559864,0.0,0.0,0.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_08fc3360,['player_08fc3360'],,,
333,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,86.48322308577235,31.999999999999993,0.0,0.0,0.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,['player_3c3f8012'],,,False
385,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,124.992454832081,38.50923174630864,0.0,0.0,0.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,"['player_3c3f8012', 'player_3c3f8012']",,,
471,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,227.5200636526024,86.50919797850136,0.0,0.0,0.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,,[],,,
527,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,236.99245483208105,112.00000000000006,0.0,0.0,0.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,,[],,,
571,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,307.52006365260246,80.00000000000006,0.0,0.0,0.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_08fc3360,['player_08fc3360'],,,
613,plate,put down,Counter_22,Counter,22,put down plate on counter,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,323.5478060833202,86.55535125123916,0.0,0.0,0.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,['player_3c3f8012'],,,
683,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,323.5200636526026,16.000000000000114,0.0,0.0,0.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_08fc3360,['player_08fc3360'],,,False
733,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,362.05703782962934,38.509231746309126,0.0,0.0,0.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,"['player_3c3f8012', 'player_3c3f8012']",,,False
747,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,323.5200636526026,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_3c3f8012,['player_08fc3360'],"['player_08fc3360', 'player_08fc3360']",['player_3c3f8012'],True
775,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,378.05703782962945,16.000000000000114,0.0,0.0,0.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,"['player_3c3f8012', 'player_3c3f8012', 'player_3c3f8012']",,,
775,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,378.05703782962945,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,"['player_3c3f8012', 'player_3c3f8012', 'player_3c3f8012']",,,False
870,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,432.5340474131881,54.47700958355864,1.0,1.0,1.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,"['player_3c3f8012', 'player_3c3f8012', 'player_3c3f8012', 'player_3c3f8012']",,,
870,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,442.0292616311053,118.50919797850275,1.0,0.0,0.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,,[],,,
908,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,448.53404741318815,16.000000000000057,1.0,0.0,1.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,,[],,,
977,plate,put down,Counter_23,Counter,23,put down plate on counter,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,534.8589182266126,92.82965659550725,1.0,0.0,0.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_08fc3360,['player_08fc3360'],,,
1002,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,534.8352329307045,86.30118551751633,1.0,0.0,1.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,['player_3c3f8012'],,,
1027,tomato_cut,pick up,Counter_22,Counter,22,pick up tomato_cut from counter,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,550.8589182266119,15.999999999999318,1.0,0.0,0.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_3c3f8012,"['player_3c3f8012', 'player_3c3f8012', 'player_3c3f8012']",,,True
1059,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,566.8589182266112,15.999999999999318,1.0,0.0,0.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_08fc3360,['player_08fc3360'],"['player_3c3f8012', 'player_3c3f8012', 'player_3c3f8012', 'player_08fc3360']",['player_08fc3360'],False
1086,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,566.8589182266112,0.0,1.0,0.0,0.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_08fc3360,['player_08fc3360'],"['player_3c3f8012', 'player_3c3f8012', 'player_3c3f8012', 'player_08fc3360']",['player_08fc3360'],False
1139,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,605.3681499729198,38.509231746308615,2.0,1.0,1.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_08fc3360,"['player_08fc3360', 'player_08fc3360']","['player_3c3f8012', 'player_3c3f8012', 'player_3c3f8012', 'player_08fc3360']",['player_08fc3360'],
1192,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,646.8352329306999,111.99999999999544,2.0,0.0,1.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,,[],,,
1215,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,659.845159556477,54.47700958355722,2.0,0.0,1.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,,[],,,
1283,plate,put down,Counter_22,Counter,22,put down plate on counter,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,733.3905841819362,86.55535125123629,2.0,0.0,1.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,['player_3c3f8012'],,,
1325,plate,put down,Counter_24,Counter,24,put down plate on counter,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,768.6942305064715,108.84907094999448,2.0,0.0,1.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_08fc3360,['player_08fc3360'],,,
1340,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,771.8998159282437,38.50923174630748,2.0,0.0,1.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,['player_3c3f8012'],,,False
1377,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,787.8998159282432,15.999999999999543,2.0,0.0,1.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,['player_3c3f8012'],"['player_3c3f8012', 'player_3c3f8012']",['player_3c3f8012'],False
1405,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,787.8998159282432,0.0,2.0,0.0,1.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,['player_3c3f8012'],"['player_3c3f8012', 'player_3c3f8012']",['player_3c3f8012'],False
1419,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,877.570443480318,108.87621297384646,2.0,0.0,1.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,,[],,,
1472,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,842.3768255118006,54.47700958355733,3.0,1.0,2.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,"['player_3c3f8012', 'player_3c3f8012']","['player_3c3f8012', 'player_3c3f8012']",['player_3c3f8012'],
1510,plate,put down,Counter_22,Counter,22,put down plate on counter,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,964.1257947315542,86.55535125123617,3.0,0.0,1.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_08fc3360,['player_08fc3360'],,,
1545,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,858.3768255118002,15.99999999999966,3.0,0.0,2.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,,[],,,
1560,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,1002.6090178173256,38.48322308577155,3.0,0.0,1.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,,[],,,
1640,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_3c3f8012,baseline_division_of_labor_large,c40eb6ce33a8d201,train,935.8367001621426,77.45987465034239,3.0,0.0,2.0,1.0,1.0,"(5, 2)",612e91f6654fd2227289c863,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_3c3f8012_actions,player_3c3f8012,['player_3c3f8012'],,,
1690,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_08fc3360,baseline_division_of_labor_large,c40eb6ce33a8d201,train,1082.609017817324,79.9999999999983,3.0,0.0,1.0,1.0,1.0,"(1, 2)",604fe822b095421e07e3f93e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map",player_08fc3360_actions,player_08fc3360,['player_08fc3360'],,,
